rank,lemma,pos_kelly,pos_ud,english
4581,feit,adj,ADJ,fat
4582,inklusive,adv,ADV,including
4583,likegyldig,adj,ADJ,indifferent
4584,toppscorer,n,NOUN,top-scorer
4585,lit,n,NOUN,a bit
4586,utpå,prep,PREP,out on
4587,villa,n,NOUN,villa
4588,uenighet,n,NOUN,disagreement
4589,atomvåpen,n,NOUN,atomic weapon
4590,behold,n,NOUN,condition
4591,utenkelig,adj,ADJ,unthinkable
4592,kompensere,v,VERB,compensate
4593,galskap,n,NOUN,madness
4594,dop,n,NOUN,drug
4595,besette,v,VERB,occupy
4596,fortjeneste,n,NOUN,profit
4597,samliv,n,NOUN,cohabitation
4598,retorikk,n,NOUN,rhetoric
4599,kur,n,NOUN,cure
4600,bakfra,prep,PREP,from behind
4601,fraråde,v,VERB,dissuade
4602,rødvin,n,NOUN,red wine
4603,middelalder,n,NOUN,middle age
4604,negl,n,NOUN,nail
4605,spekter,n,NOUN,spectrum
4606,sosiologi,n,NOUN,sociology
4607,ubehag,n,NOUN,dislike
4608,landsforbund,n,NOUN,national federation
4609,action,n,NOUN,action
4610,ts,n,NOUN,
4611,uvitende,adj,ADJ,ignorant
4612,lærdom,n,NOUN,teaching
4613,uaktuell,adj,ADJ,not relevant
4614,ikt,n,NOUN,"ICT, information and communication technology"
4615,merverdiavgift,n,NOUN,VAT
4616,taxi,n,NOUN,taxi
4617,kredittkort,n,NOUN,credit card
4618,paradis,n,NOUN,paradise
4619,introdusere,v,VERB,introduce
4620,tilgi,v,VERB,forgive
4621,flamme,n,NOUN,flame
4622,foresatt,v,VERB,authority
4623,utenrikspolitikk,n,NOUN,foreign policy
4624,ratt,n,NOUN,wheel
4625,prikk,n,NOUN,dot
4626,strukturen,n,NOUN,the structure
4627,knippe,n,NOUN,bunch
4628,samleie,n,NOUN,sex
4629,parlament,n,NOUN,parliament
4630,skrekk,n,NOUN,fear
4631,lønnsomhet,n,NOUN,profitability
4632,mindreårig,adj,ADJ,underage
4633,redning,n,NOUN,rescue
4634,kontinent,n,NOUN,continent
4635,dyster,adj,ADJ,gloomy
4636,forut,adv,ADV,prior
4637,krangel,n,NOUN,fight
4638,sukk,n,NOUN,sigh
4639,frakt,n,NOUN,freight
4640,humanitær,adj,ADJ,humanitarian
4641,no.,adj,ADJ,
4642,aids,n,NOUN,aids
4643,hanske,n,NOUN,glove
4644,syndrom,n,NOUN,syndrome
4645,aften,n,NOUN,evening
4646,assistent,n,NOUN,assistant
4647,integritet,n,NOUN,integrity
4648,kompakt,adj,ADJ,compact
4649,vogn,n,NOUN,vehicle
4650,mindretall,n,NOUN,minority
4651,applaus,n,NOUN,applause
4652,forstyrrelse,n,NOUN,disturbance
4653,vedtekt,n,NOUN,regulation
4654,kalender,n,NOUN,calendar
4655,belysning,n,NOUN,lighting
4656,portrett,n,NOUN,portrait
